Name (2014),Year (2014),Year (2015),Year (2016),Year (2017),Year (2018),LinkedIn,Notes
Alchemy Code Lab,,,,,2018,https://www.linkedin.com/school/alchemy-code-lab/people/,
App Academy,2014,2015,2016,2017,2018,https://www.linkedin.com/school/app-academy/people/,
Array School of Technology and Design,,,,2017,2018,https://www.linkedin.com/school/array-school-of-technology-&-design/people/,
Awesome Inc,,,2016,2017,2018,https://www.linkedin.com/school/awesome-inc/people/,
Bitmaker General Assembly,,2015,2016,2017,2018,https://www.linkedin.com/school/bitmakerga/people/,Toronto (originally Bitmaker Labs)
Bottega,,,,2017,2018,https://www.linkedin.com/school/bottega-tech/people/,
BrainStation,,2015,2016,2017,2018,https://www.linkedin.com/school/brainstation/people/,
Burlington Code Academy,,,,,2018,https://www.linkedin.com/school/burlington-code-academy/people/,
Byte Academy,,2015,2016,2017,2018,https://www.linkedin.com/school/byte-academy/people/,
Claim Academy,,2015,2016,2017,2018,https://www.linkedin.com/school/claim-academy/people/,
Code Career Academy,,,,2017,2018,https://www.linkedin.com/school/code-career-academy/people/,
Code Fellows,2014,2015,2016,2017,2018,https://www.linkedin.com/school/code-fellows/people/,
CodeCore Bootcamp,,2015,2016,2017,2018,https://www.linkedin.com/school/codecore-developer-bootcamp/people/,Vancouver (aka CodeCore Developer Bootcamp)
CodeCraft School,,2015,2016,2017,2018,https://www.linkedin.com/school/codecraft-school-of-technology/people/,Closed
Code Partners,,,,,2018,https://www.linkedin.com/school/codepartnersmd/people/,
Codeup,2014,2015,2016,2017,2018,https://www.linkedin.com/school/codeup/people/,
Coding Dojo,2014,2015,2016,2017,2018,https://www.linkedin.com/school/codingdojo/people/,
DecodeMTL,,2015,2016,2017,2018,https://www.linkedin.com/school/decode-mtl/people/,Montreal
Dev Bootcamp,2014,2015,2016,2017,,https://www.linkedin.com/school/dev-bootcamp/people/,"Closed at end of 2017, but have alumni page"
Dev League,2014,2015,2016,2017,2018,https://www.linkedin.com/school/dev-league-llc/people/,
DevMountain,2014,2015,2016,2017,2018,https://www.linkedin.com/school/devmountain/people/,
DevPoint Labs,,2015,2016,2017,2018,https://www.linkedin.com/school/devpoint-labs/people/,
DigitalCrafts,,,2016,2017,2018,https://www.linkedin.com/school/digitalcrafts/people/,
Fullstack Academy,2014,2015,2016,2017,2018,https://www.linkedin.com/school/fullstack-academy-of-code/people/,Fullstack Academy of Code
Galvanize,2014,2015,2016,2017,2018,https://www.linkedin.com/school/galvanize-it/people/,(Included gSchool and Zipfian Academy in 2014)
General Assembly,2014,2015,2016,2017,2018,https://www.linkedin.com/school/general-assemb-ly/people/,
Hack Reactor,2014,2015,2016,2017,2018,https://www.linkedin.com/school/hack-reactor/people/,
Hackbright Academy,2014,2015,2016,2017,2018,https://www.linkedin.com/school/hackbright-academy/people/,
HackerYou,,2015,2016,2017,2018,https://www.linkedin.com/school/hackeryou/people/,Toronto
Helio Training,,,,2017,2018,https://www.linkedin.com/school/helio-training/people/,
Holberton School,,,2016,2017,2018,https://www.linkedin.com/school/holberton-school/people/,
